Title: EntireCorpus-Lemmas
Number of all lemmas: 77614
Nummber of different lemmas: 14418

Lemma	POS	Frequency	Tokens
Füssen	NNP	30	Füßen
Maskarill	NNP, NN	30	Maskarill
Al-Hafi	NN	30	Al-Hafi
Muss	NN	30	Muß
seit	IN	30	seit
schämen	VB, PRP$	30	schämen, schämt
Frauenzimmerchen	NN, RB, VB	30	Frauenzimmerchen
Absicht	NN, JJ	30	Absicht
Erlauben	NN	30	Erlauben
grausam	JJ	30	grausames, grausame, grausam, grausamer, grausamen
Sittah	NN, NNP	30	Sittah
liebster	NN, JJ	29	liebster
gleichwohl	RB, RP, IN, NNP	29	gleichwohl
aufs	NN, JJ, IN	29	aufs
lang	JJ	29	lang, langen, langer, langem
reich	JJ	29	reich, reicher
morgen	RB, VBN, IN, RP, NNP	29	morgen
treten	VB, VBN, RP	29	treten, tritt, trat, getreten
war	VB, JJ, RB	29	war, waren
Zufall	NN, NNS	29	Zufall, Zufälle
Schicksal	NN, NNS	29	Schicksal, Schicksale
jemand	DT, RB	29	jemand
Auge	NN, NNP	29	Auge
spät	RB, JJ	29	spät, späte
Schweig	JJ, RB	29	Schweig
Daja	RB	29	Daja
Dienste	NN	29	Dienste
Bitte	NN, NNS	29	Bitte, Bitten
Hast	NN	29	Hast
Sage	NN, NNP	28	Sage
Leandern	NN, JJ, VB, RB	28	Leandern, Leander
wiedern	VB, VBN, RB	28	wieder
Antwort	NN	28	Antwort
deines	NN, NNP, JJ	28	deines
de	FW, NN	28	de
weisen	VB, RB, PRP$, JJ	28	wies, weisen, weisend
behalten	VBN, RP, VB	28	behalten, behalte, behält
stellen	VB, RP, VBN	28	stellt, gestellt, stellen, stellte, stellten
Betty	FW, NN	28	Betty
hör	NN, JJ, VB	28	hör, höre
hassen	VB, PRP$	28	hassen, hieß, hieße, hießet
unserer	PRP$	28	unserer
Welch	JJ, NN	28	Welchen, Welcher, Welch, Welches
Lust	NN, JJ, NNS	28	Lust, Lüste
Wechsel	NN	27	Wechsel
laut	JJ, VB	27	lauter, laut, lautem, laute
Euer	NN, JJ	27	Euer
Indemen	RB, VB	27	Indem
tragen	VB, VBN, PRP$	27	tragen, trägt, getragen, trugen, tragt
Geschwind	NN, JJ	27	Geschwind
nahe	RP, IN, TO	27	nahe
angenehm	JJ, VB	27	angenehme, angenehm, angenehmen, angenehmer
vielmehr	RB, RP, IN, WRB, JJ	27	vielmehr
gewinnen	VB, VBN, PRP$, RP	27	gewinnen, gewonnen
Tempelherr	NN, JJ	27	Tempelherr, Tempelherren
alsdenn	RB, RP, IN, WRB	27	alsdenn
Vernunft	NN, JJ	27	Vernunft
Schwerd	NN, NNP	27	Schwerd
schlagen	VB, NN, PRP$	27	schlagen, schlägt, schlug, geschlagen, schlagt
Nacht	NN, JJ, NNP	27	Nacht
Hilaria	NN, NNP, RP	27	Hilaria
alsdann	NNP, NN	27	alsdann
Verbrechen	NN	27	Verbrechen
Gelehrten	NN	27	Gelehrten
Geheimnis	NN, NNS	27	Geheimnis, Geheimnisse
Vertrauen	NN	27	Vertrauen
durchaus	RB, IN, RP	26	durchaus
Schuld	NN	26	Schuld
Sachen	NN	26	Sachen
vollkomm	JJ	26	vollkommen
Wunder	NN	26	Wunder
Dinge	NN	26	Dinge
schönes	NN, JJ	26	schönes
närrisch	JJ	26	närrischen, närrische, närrisch
dahin	RB, RP, IN, JJ	26	dahin
Frage	NN	26	Frage
Dose	NN	26	Dose
jaten	RP, RB, VB	26	ja
Habe	NN	26	Habe
Soldat	NNS, NN, NNP, JJ	26	Soldaten, Soldat
Stande	NN	26	Stande
schwerlich	JJ	26	schwerlich
fasen	VB, VBN, JJ, RB	26	fast, fasten
dienen	VB, VBN	26	dienen, dient
hinter	IN	26	hinter
anfangen	VB, RP, VBN	25	anfangen, anfängt
Sir	NN	25	Sir
Buch	NN	25	Buch, Buche
betrachten	VBN, VB, RP	25	betrachtet, betrachten, betrachte
Geist	NN	25	Geist
Rache	NN	25	Rache
Henriette	NN, NNP	25	Henriette
Mund	NN, JJ	25	Mund
fürchte	NN	25	fürchte
erkennen	VB, PRP$, VBN	25	erkennen, erkannt
herein	RP, RB, NNP	25	herein
gestern	IN, RB, RP, NNP	25	gestern
Leuten	NN, NNP, IN	25	Leuten
laufen	VB, VBN	25	läuft, gelaufen, laufen, lief
bessern	VBN, RP, VB, PRP$	25	besser, bessern, gebessert
Höre	NN	25	Höre
Bin	NN	25	Bin
stecken	VB	25	stecken, steckt
kosen	VB, VBN	25	kosten, kostet
nimmermehr	NN	25	nimmermehr
schaffen	VB, VBN, RP	25	schafft, schaffen, geschaffen
sieh	NN	24	sieh
Norton	NN, NNP	24	Norton
Tone	NN	24	Tone
Teil	NN, JJ	24	Teil, Teile
fest	RB, JJ, IN, RP	24	fest, festen, festes
kalt	JJ, VB	24	kaltem, kalt, kalten, kalte, kalter
Feuer	NN, JJ	24	Feuer
los	RP, NNP, RB, JJ	24	los
Gesichte	NN	24	Gesichte
Dingen	NN	24	Dingen
überall	IN, RB, RP	24	überall
daraufen	RB, VB	24	darauf
Hoffnung	NN, JJ	24	Hoffnung
Stube	NN	24	Stube
Willst	WRB	24	Willst
wild	JJ, VB	24	wilde, wilder, wilden, wildes, wild
handeln	VB	24	handeln, handelt, handle
falsch	JJ	23	falsche, falschen, falsch, falsches
Bedienten	NN, NNP	23	Bedienten
Schönheit	NN	23	Schönheit
manch	DT, JJ	23	mancher, manchem, manche, manches, manchen, manch
danke	RP, IN, RB	23	danke
Stunde	NN, JJ	23	Stunde
entschuldigen	VB, PRP$	23	entschuldigen, entschuldigt
sollt	NN	23	sollt
Unrecht	NN, JJ	23	Unrecht
Conti	NN	23	Conti
