Title: Der Schatz
Number of all lemmas: 11596
Nummber of different lemmas: 2131

Lemma	POS	Frequency	Tokens
Neubegierde	NN	2	Neubegierde
Freilich	JJ	2	Freilich
Ausstattung	NN	2	Ausstattung
saur	JJ	2	saure
rund	RB	2	rund
Sohne	PRP$	2	Sohne
fangen	VB	2	fangen
sachter	NN	2	sachter
mehren	VBN	2	mehr
Hälfte	NN	2	Hälfte
hat	RB	2	hat
Willkommen	NN	2	Willkommen
fände	NN	2	fände
Zehne	NN	2	Zehne
weisen	VB	2	weisen
Gesundheit	NN	2	Gesundheit
unglücklich	JJ	2	unglücklich
frage	NN	2	frage
weiss	VB	2	weiß
dankbar	JJ	2	dankbar
jaten	RB, VB	2	ja
schwarz	JJ	2	schwarzen, schwarze
Dochen	RB	2	Doch
sonderbar	JJ	2	sonderbar, sonderbarer
Wechsel	NN	2	Wechsel
Punkt	NN	2	Punkt
o	DT	2	o
stecken	VB	2	stecken, steckt
Arnolph	NN	2	Arnolph
woran	WDT	2	woran
Herde	NN	2	Herde
Ende	NN	2	Ende
Wunder	NN	2	Wunder
war	VB	2	war
Schulden	NN	2	Schulden
Tone	NN	2	Tone
Willst	WRB	2	Willst
Ausschweifungen	NN	2	Ausschweifungen
nu	UH	2	nu
verstehen	VB	2	versteht
Partie	NN	2	Partie
Verschlossen	NN	2	Verschlossen
zurechte	NN	2	zurechte
ergehen	VB	2	ergehen
gröss	JJ	2	größer
grauen	VB	2	grauen
Grossmut	NN	2	Großmut
Tat	NN	2	Tat
Dingen	NN	2	Dingen
Pandolfo	NN	2	Pandolfo
fehlen	VB	2	fehlt, gefehlt
übrige	NN	2	übrige
Vermögen	NN	2	Vermögen
Summe	NN	2	Summe
Absicht	NN	2	Absicht
Pest	NN	2	Pest
Wahrhaftig	JJ, RB	2	Wahrhaftig
hoffen	VB	2	hoffe
Bouteille	NN	2	Bouteille
genugen	VBN	2	genug
verborgen	VBN	2	verborgen
beim	IN	2	beim
Torheit	NN	2	Torheit
Beutel	NN	2	Beutel
spielen	VBN, VB	2	spielen
ei	NN, RP	2	Ei, ei
bekömmt	NN	2	bekömmt
Verräter	NN	2	Verräter
List	NN	2	List
völlig	JJ	2	völliger
behalten	VBN, VB	2	behalten
Münze	NN	2	Münze
Prophezeiung	NN	2	Prophezeiung
gehe	NN	2	gehe
Schrecken	NN	2	Schrecken
and	JJ	2	ander
ohnfehlbar	JJ	2	ohnfehlbar
Geduld	NN	2	Geduld
stössen	VB	2	stößt
Lande	NN	2	Lande
lernen	VBN, VB	2	gelernt, lernen
wunderbar	JJ	2	wunderbar, wunderbarer
fassen	VBN, VB	2	gefaßt, fassen
bereits	RB	2	bereits
schassen	VB	2	schießen
bekümmert	NN	2	bekümmert
Diensten	NN	2	Diensten
beschwöre	NN	2	beschwöre
sollten	NN	2	sollten
gleichsam	RB, IN	2	gleichsam
väterlich	JJ	2	väterlichen, väterliches
Boden	NN	2	Boden
entweder	CC, RB	2	entweder
Ihm	PRP	2	Ihm
Königen	NN	2	Königen
Güte	NN	2	Güte
tragen	VB	2	tragen
anvertraute	NN	2	anvertraute
andrer	NN	2	andrer
Paphlagonien	NN	2	Paphlagonien
hernach	NN	2	hernach
zugleich	RB	2	zugleich
gleichen	VBN	2	gleich
Spitzbube	NN	2	Spitzbube
Können	NN	2	Können
vortrefflicher	NN	2	vortrefflicher
Unrechtes	NN	2	Unrechtes
Fremde	NN	2	Fremde
vergeben	RP, VBN	2	vergeben
Rap	NN	2	Rap
Eben	NN	2	Eben
Neigung	NN	2	Neigung
Nu	NN	2	Nu
welchem	WP	2	welchem
rechnen	VB	2	rechnen
sagst	NN	2	sagst
Ehre	NN	2	Ehre
Darf	NN	2	Darf
Lebens	NN	2	Lebens
Kürzesten	NN	2	Kürzesten
Exempel	NN	2	Exempel
gibts	NN	2	gibts
Gelde	NN	2	Gelde
Stille	NN	2	Stille
wohin	RB	2	wohin
hinein	RB	2	hinein
laut	JJ	2	lauter
ersparen	VB	2	ersparen
immerhin	NN	2	immerhin
leichtsinnig	JJ	2	leichtsinnige, leichtsinnig
sogleich	RB	2	sogleich
hervor	IN	2	hervor
Freundes	NN	2	Freundes
wiederkommen	NN	2	wiederkommen
zweimal	RB	2	zweimal
verleumden	VB	2	verleumden
hinaus	IN	2	hinaus
leid	JJ	2	leid
fragte	NN	2	fragte
verzweifelt	JJ, NN	2	verzweifelt, verzweifelter
Mühe	NN	2	Mühe
darum	RB	2	darum
Viehsterben	NN	2	Viehsterben
grösst	JJ	2	größte, größten
Verziehen	NN	2	Verziehen
halte	NN	2	halte
herab	NN	2	herab
Küste	NN	2	Küste
vorbei	IN	2	vorbei
Schlingel	NN	2	Schlingel
Erde	NN	2	Erde
Vorschlag	NN	2	Vorschlag
hastig	JJ, RB	2	hastig
vollends	NN	2	vollends
Alten	VB, NN	2	Alte, Alten
allerliebster	NN	2	allerliebster
heiraten	PRP$, VB	2	heiraten
Ers	NN	2	Ers
Verleumdung	NNS	2	Verleumdungen
Busch	NNP	2	Busch
Tag	NN	2	Tag
Verkaufen	NN	2	Verkaufen
Mannes	NN	2	Mannes
Mündels	NN	2	Mündels
Vaters	NN	2	Vaters
Zügen	NN	2	Zügen
Welche	WP	2	Welche
Umstand	NNS	2	Umstände
Vergebung	NN	2	Vergebung
Meinigen	NN	2	Meinigen
kostbar	JJ	2	kostbare
Anstecken	NN	2	Anstecken
Hören	NN	2	Hören
willkomm	JJ	2	willkommen
Freude	NN	2	Freude
ersen	VB	2	ersten
auchen	VB	2	auch
fähig	JJ	2	fähig
Kind	NN	2	Kind
Katze	NN	2	Katze
Bettlerin	NNP, NN	2	Bettlerin
zusammen	RB	2	zusammen
unschuldig	JJ	2	unschuldig
Busche	NNP, NN	2	Busche
Fingern	NN	2	Fingern
melden	VB	2	melden
geschwinden	NN, VBN	2	geschwinden, geschwind
Manne	NN	2	Manne
Nenne	NN	2	Nenne
Blutigel	NN	2	Blutigel
Lass	NN	2	Laß
Zufall	NN	2	Zufall
bös	JJ	2	böse
Ohren	NN	2	Ohren
Nehmen	VB	2	Nehmen
weis	JJ	2	weise, weiser
Gesicht	NNP, NN	2	Gesicht
daraus	RB	2	daraus
Geheimnis	NN	2	Geheimnis
Häuschen	NN	2	Häuschen
helfen	VB	2	helfen
Ansehung	NN	2	Ansehung
Namens	NN, JJ	2	Namens
Ansel	NN	2	Ansel
hör	NN, VB	2	hör, höre
Schurke	NN	2	Schurke
Abwesenheit	NN	2	Abwesenheit
holen	VB	2	holen, holte
taugen	VB	2	taugt
vollwichtigen	JJ, NN	2	vollwichtigen
lügen	VB, RP	2	lügen, gelogen
Leben	NN	2	Leben
Bist	NN	2	Bist
früh	JJ	2	früh
Blitz	NN	2	Blitz
gesprächig	JJ	2	gesprächig
Ort	NN	2	Ort
verdammter	NN	2	verdammter
Korn	NNS	2	Korne
Sonst	NN	2	Sonst
zwischen	IN	2	zwischen
dafüren	VB	2	dafür
ziemlich	JJ	2	ziemlich
rechtschaffnen	NN	2	rechtschaffnen
