WORD_LOWER	EMO_MEAN	AROUSAL_MEAN
geldgier	-1,2	3,833333333
gelenk	0,05	2,315789474
geliebte	1,5	3,777777778
gelingen	1,676470588	2,578947368
gelten	0,294117647	2,052631579
gemein	-1,9	3,9
gemeinde	0,441176471	2,055555556
gemetzel	-2,3	4,333333333
gemse	0,7	1,857142857
gemüse	1,32	1,82
general	-1,352941176	2,833333333
genial	2,4	3,5
genie	1,9	3,705882353
genießen	2,323529412	2,133333333
genosse	-0,794117647	2,761904762
gerede	-1,1	3,05
gericht	-0,939393939	3,428571429
geruch	0	2,684210526
gesang	1,85	2,05
geschehen	0,264705882	2,523809524
geschenk	2,3	3,470588235
geschichte	0,764705882	2,714285714
geschrei	-1,5	3,941176471
gesetz	-0,9	2,684210526
gesicht	1	2,666666667
gesindel	-1,4	3,111111111
gespräch	1,441176471	2,666666667
gestalten	1,411764706	2,133333333
gestaltung	1,147058824	2,476190476
gestank	-2,1	3,588235294
geste	1,05	2,111111111
gestehen	-0,058823529	3,142857143
gesund	2,7	1,631578947
gesundheit	1,970588235	2,233333333
gewalt	-2,7	4,380952381
geweih	0,09	2,62
gewicht	-0,970588235	3,333333333
gewinn	2,1	3,882352941
gewinnen	1,676470588	3,210526316
gewissen	0,7	3,315789474
gewitter	0,6	3,631578947
ghetto	-1,7	4,05
giebel	0,2	2,157894737
gierig	-1,5	3,947368421
gift	-2,5	4
giftgas	-3	4,222222222
gigant	0,35	3,789473684
giraffe	1,36	2,82
girlande	1,36	2,91
gitarre	1,91	3
gitter	-0,7	2,619047619
glanz	1,8	2,611111111
glas	0,64	1,77
glaube	0,8	3,105263158
glauben	1,088235294	2,631578947
globus	0,86	2,32
glocke	0,64	2,41
glück	2,617647059	2,933333333
glut	0,5	3,052631579
gnade	1	2,25
gold	1,4	2,5
gott	1,5	2,5
grab	-2,3	3,777777778
granate	-2,5	4,0625
grandios	2,2	3,444444444
gras	0,77	1,59
gratis	1,5	2,611111111
grausam	-2,2	3,888888889
greifen	0,088235294	2,133333333
grenze	-0,2	3
greuel	-2,15	3,875
grinsen	0,9	3,210526316
großmacht	-1,852941176	3,714285714
grube	-0,95	2,523809524
grund	0,5	2,315789474
gründen	0,970588235	2,315789474
grundlage	0,558823529	2,238095238
grundstück	0,764705882	2,033333333
gründung	0,705882353	2,473684211
gruppe	0,5	2,388888889
gruselig	-1,5	3,736842105
gruß	1,441176471	1,684210526
gummi	0,45	2,333333333
gurgel	-1,45	2,722222222
